"Story","Title","Result","Date","Stability","Duration (s)"
"Registering a new client","New clients are given a portfolio with $1000 to start with","SUCCESS","2023-07-17T12:32:50.006014016Z[Etc/UTC]","0.0","4.4"
"Registering a new client","New clients need to provide their full name and email address","SUCCESS","2023-07-17T12:32:54.432079274Z[Etc/UTC]","0.0","0.32"
"Buying and selling shares","Buying shares","SUCCESS","2023-07-17T12:32:54.782887157Z[Etc/UTC]","0.0","0.34"
"Buying and selling shares","Buying and selling shares","SUCCESS","2023-07-17T12:32:55.126791533Z[Etc/UTC]","0.0","0.32"
"Viewing positions","Making a profit on a single share","SUCCESS","2023-07-17T12:32:55.462294777Z[Etc/UTC]","0.0","0.25"
"Market news","Viewing news about a particular share","SUCCESS","2023-07-17T12:32:55.720591414Z[Etc/UTC]","0.0","0.09"
