"Story","Title","Result","Date","Stability","Duration (s)"
"Registering a new client","New clients need to provide their full name and email address","SUCCESS","2023-08-17T10:06:52.026948813Z[Etc/UTC]","0.0","5.55"
"Registering a new client","New clients are given a portfolio with $1000 to start with","SUCCESS","2023-08-17T10:06:56.454680981Z[Etc/UTC]","0.0","1.11"
"Buying and selling shares","Buying and selling shares","SUCCESS","2023-08-17T10:06:54.71773513Z[Etc/UTC]","0.0","2.9"
"Buying and selling shares","Buying shares","SUCCESS","2023-08-17T10:06:56.996295664Z[Etc/UTC]","0.0","0.61"
"Viewing positions","Making a profit on a single share","SUCCESS","2023-08-17T10:06:56.724925116Z[Etc/UTC]","0.0","0.9"
"Market news","Viewing news about a particular share","SUCCESS","2023-08-17T10:06:52.055235242Z[Etc/UTC]","0.0","5.54"
